,Date,Away_Team,MP_Away,FG_Away,FGA_Away,FG%_Away,3P_Away,3PA_Away,3P%_Away,FT_Away,FTA_Away,FT%_Away,ORB_Away,DRB_Away,TRB_Away,AST_Away,STL_Away,BLK_Away,TOV_Away,PF_Away,PTS_Away,Home_Team,MP_Home,FG_Home,FGA_Home,FG%_Home,3P_Home,3PA_Home,3P%_Home,FT_Home,FTA_Home,FT%_Home,ORB_Home,DRB_Home,TRB_Home,AST_Home,STL_Home,BLK_Home,TOV_Home,PF_Home,PTS_Home,Winner
0,2018-10-16,Philadelphia 76ers,240.0,34.0,87.0,0.391,5.0,26.0,0.192,14.0,23.0,0.609,6.0,41.0,47.0,18.0,8.0,5.0,16.0,20.0,87.0,Boston Celtics,240.0,42.0,97.0,0.433,11.0,37.0,0.297,10.0,14.0,0.714,12.0,43.0,55.0,21.0,7.0,5.0,14.0,20.0,105.0,H
0,2018-10-16,Oklahoma City Thunder,240.0,33.0,91.0,0.363,10.0,37.0,0.27,24.0,37.0,0.649,16.0,29.0,45.0,21.0,12.0,6.0,14.0,21.0,100.0,Golden State Warriors,240.0,42.0,95.0,0.442,7.0,26.0,0.269,17.0,18.0,0.944,17.0,41.0,58.0,28.0,7.0,7.0,21.0,29.0,108.0,H
